Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.032879,-0.00076251,0.47121,0,0,0,15.276,1.6433,-5.773E-05,0.042094,1.6426,0.00023522,0.20066,0,0,0,0,0,0,package://RM75-B-V/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://RM75-B-V/meshes/base_link.STL,,具身两轮语音版-2,base,?????????3,joint_5,prismatic,0.28339,0,0.17234,0,0,-1.5708,base_link,0,0,-1,250,0.2,0,1,,,,,,,,
link_1,-3.8858E-16,-0.023,-1.1102E-16,0,0,0,8.1207,0.015928,2.1608E-16,4.9304E-32,0.028992,8.2874E-31,0.015928,0,0,0,0,0,0,package://RM75-B-V/meshes/link_1.STL,0.65098,0.61961,0.58824,1,0,0,0,0,0,0,package://RM75-B-V/meshes/link_1.STL,,轮子-1,link1,z_link_1,joint_1,continuous,-0.018,-0.1435,-0.15648,0,0,0,base_link,0,-1,0,7,5.88,0,100,,,,,,,,
link_2,1.2768E-15,0.023,-5.218E-15,0,0,0,8.1207,0.015928,1.3651E-16,-4.9304E-32,0.028992,-3.4413E-33,0.015928,0,0,0,0,0,0,package://RM75-B-V/meshes/link_2.STL,0.65098,0.61961,0.58824,1,0,0,0,0,0,0,package://RM75-B-V/meshes/link_2.STL,,轮子-2,link2,z_link_2,joint_2,continuous,-0.018,0.1435,-0.15648,0,0,0,base_link,0,1,0,7,5.88,0,100,,,,,,,,
link_3,-0.01215,1.0258E-05,0.0004595,0,0,0,0.0048138,6.273E-07,3.3333E-10,1.4931E-08,4.6878E-07,-6.489E-10,4.4062E-07,0,0,0,0,0,0,package://RM75-B-V/meshes/link_3.STL,1,1,1,1,0,0,0,0,0,0,package://RM75-B-V/meshes/link_3.STL,,广角相机-纬视达-1,link3,z_link_3,joint_3,fixed,0.14113,6.9353E-05,1.458,0,0,0,base_link,0,0,0,,,,,,,,,,,,
link_4,0.01215,-0.00014418,0.00043641,0,0,0,0.0048138,6.273E-07,4.685E-09,-1.4181E-08,4.6601E-07,8.4137E-09,4.4339E-07,0,0,0,0,0,0,package://RM75-B-V/meshes/link_4.STL,1,1,1,1,0,0,0,0,0,0,package://RM75-B-V/meshes/link_4.STL,,广角相机-纬视达-2,link4,z_link_4,joint_4,fixed,-0.013691,0,1.3819,0,0,0,base_link,0,0,0,,,,,,,,,,,,
link_5,6.3925E-06,-0.095864,0.14821,0,0,0,3.0103,0.012641,4.7872E-06,-8.0962E-07,0.031898,-7.0254E-05,0.021649,0,0,0,0,0,0,package://RM75-B-V/meshes/link_5.STL,1,1,1,1,0,0,0,0,0,0,package://RM75-B-V/meshes/link_5.STL,,上身_2-1,link_5,z_link_5,joint_5,prismatic,0.28339,0,0.17234,0,0,-1.5708,base_link,0,0,1,250,0.2,0,1,,,,,,,,
link_left_0,6.2817E-07,4.8326E-09,0.091692,0,0,0,0.33723,0.00047403,-2.9684E-12,-9.5407E-09,0.00047403,-6.211E-11,0.00050951,0,0,0,0,0,0,package://RM75-B-V/meshes/link_left_0.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://RM75-B-V/meshes/link_left_0.STL,,关节转接座V1-2,left_0,z_left_0,joint_left_0,fixed,-0.06217,-0.059,0.13747,0,-0.7854,0,link_5,0,0,0,0,0,-0.98,0.98,,,,,,,,
link_left_1,1.3359E-07,-0.021108,-0.025185,0,0,0,0.59356,0.0012661,-6.7695E-09,8.6967E-09,0.0011817,0.00021121,0.00056134,0,0,0,0,0,0,package://RM75-B-V/meshes/link_left_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://RM75-B-V/meshes/link_left_1.STL,,RM65-B-2-3,left_1,z_left_1,joint_left_1,revolute,0,0,0.2405,0,0,0,link_left_0,0,0,1,7,3.14,-3.07,3.07,,,,,,,,
link_left_2,4.4614E-07,-0.07613,0.011078,0,0,0,0.43285,0.0012584,-3.5025E-09,1.1212E-09,0.00031747,-0.000279,0.0012224,0,0,0,0,0,0,package://RM75-B-V/meshes/link_left_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://RM75-B-V/meshes/link_left_2.STL,,RM65-B-3-2,left_2,z_left_2,joint_left_2,revolute,0,0,0,-1.5708,0,0,link_left_1,0,0,1,7,3.14,-2.26,2.26,,,,,,,,
link_left_3,1.4057E-06,-0.023544,-0.027348,0,0,0,0.43133,0.00079435,-1.242E-09,-1.5958E-08,0.00073037,0.00014263,0.00031506,0,0,0,0,0,0,package://RM75-B-V/meshes/link_left_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://RM75-B-V/meshes/link_left_3.STL,,RM65-B-4-2,left_3,z_left_3,joint_left_3,revolute,0,-0.256,0,1.5708,0,0,link_left_2,0,0,1,7,3.925,-3.07,3.07,,,,,,,,
